acc_init,acc_incre,dec_init,dec_incre,max_acc_v_,max_dec_v_,max_v_,k_dist,k_alpha,k_beta,k_v_short,gamma,second_range,m_sampling_time,
0.1,0.08,0.7,0.8,1,3,1.8,0.4,0.8,1,0.302,0.45,0.4,0.01,
0.25,0.08,0.3,0.08,1,3,1.8,0.5,0.8,1,0.302,0.45,0.4,0.01,
0.25,0.08,0.7,0.08,1,3,1.8,0.5,0.8,1,0.302,0.45,0.4,0.01,
0.25,0.08,0.3,0.8,1,3,1.8,0.5,0.8,1,0.302,0.45,0.4,0.01,
0.4,0.12,0.7,0.12,1,3,1.8,0.7,0.8,1,0.5,0.65,0.4,0.01,
0.4,0.12,1.4,0.24,1,3,1.8,11.7,0.8,1,0.5,0.65,0.4,0.01,
0.25,0.08,0.3,0.08,1,3,1.8,0.5,0.8,1,0.302,0.45,0.4,0.01,original set 2 (DO NOT CHANGE)
0.4,0.08,0.7,0.12,1,3,1.8,0.5,0.8,1,0.302,0.45,0.4,0.01,original set 1 (DO NOT CHANGE) 
0.6,0.2,0.6,0.1,1,3,1.6,0.5,0.8,1,0.302,0.45,0.4,0.01,fork height 1750
0.6,0.2,0.4,0.08,1,3,1.5,0.5,0.8,1,0.302,0.45,0.4,0.01,fork height 3550
0.4,0.1,0.3,0.07,1,3,1.5,0.5,0.8,1,0.302,0.45,0.4,0.01,fork height 4650
